TLID,FNODE,TNODE,LENGTH
62058833,16164,16126,68.36919
62058834,16036,15970,72.78558
62058835,16144,16054,293.43566
62058836,16222,16134,177.86167
62058837,16266,16134,140.38473
62058838,16265,16222,56.32665
62058839,16197,16071,145.56006
62058840,16227,16197,105.74872
62058841,16227,15960,299.3869
62058843,16222,16266,126.93315
62058844,16265,16197,64.583
62058845,16389,16265,138.62109
62058846,16435,16403,292.39671
62058847,16174,15992,204.16236
62058848,16285,16174,158.14438
62058849,16174,16213,70.40918
62058850,16338,16285,64.58555
62058851,16381,16338,119.16338
62058852,16381,16100,302.0243
62058853,16389,16396,68.82292
62058854,16396,16408,200.92298
62058855,16403,16389,61.37366
62058856,16540,16403,194.7108
62058857,16477,16389,113.1753
62058858,16534,16477,77.97425
62058859,16595,16534,69.31045
62058860,16540,16595,166.82787
62058861,16685,16595,121.29328
62058862,16490,16435,53.15682
62058863,16458,16435,61.2895
62058864,16458,16490,51.45209
62058865,16594,16490,138.62615
62058866,16555,16458,164.42847
62058867,16476,16446,146.63493
62058868,16594,16540,156.53883
62058869,16684,16540,181.9435
62058870,16555,16594,165.41647
62058871,16554,16555,144.3127
62058872,16196,16164,56.32844
62058873,16196,16141,88.80089
62058874,16264,16196,82.216
62058875,16395,16164,262.67843
62058876,16395,16381,156.29531
62058877,16264,16054,266.60193
62058878,16293,16264,56.3287
62058879,16312,16293,51.45286
62058880,16312,16242,95.71883
62058881,16337,16312,51.45293
62058882,16212,16144,126.7423
62058883,16429,16337,183.06984
62058884,16446,16395,72.78484
62058885,16446,16293,250.62532
62058886,16568,16446,138.63218
62058887,16568,16554,45.24135
62058888,16715,16554,199.28264
62058889,16605,16568,112.62526
62058890,16516,16337,226.62701
62058891,16515,16516,277.5242
62058893,16429,16356,138.08205
62058894,16515,16429,123.4831
62058895,16625,16515,142.58402
62058896,16567,16212,412.67346
62058897,16567,16599,54.64616
62058898,15805,15459,305.81324
62058899,15805,15817,67.16707
62058900,16195,15817,385.79288
62058901,15804,15805,88.80759
62058905,15642,15599,95.33303
62058906,15686,15642,114.01322
62058907,15838,15642,155.98944
62058908,15804,15599,165.02734
62058909,15838,15804,103.23571
62058910,15920,15804,95.32567
62058911,15731,15686,119.16666
62058912,15884,15686,230.60568
62058913,15711,15656,105.75164
62058914,15641,15579,84.49998
62058915,15730,15579,333.66902
62058916,15731,15656,75.1789
62058917,15795,15731,93.49933
62058918,15756,15711,68.3783
62058919,15837,15795,126.93563
62058920,15837,15756,61.67304
62058921,15982,15838,197.16323
62058922,16053,15920,229.15376
62058923,15884,15982,102.56597
62058924,16221,15982,302.89946
62058925,16023,15920,104.5824
62058926,16152,16023,134.18788
62058927,16099,16023,148.81874
62058928,16053,16099,102.90989
62058929,16284,16099,226.40751
62058930,15982,16053,102.56548
62058931,16241,16053,228.15113
62058932,15795,15884,110.09946
62058934,15866,15837,92.53517
62058935,15899,15866,81.94089
62058936,16080,15837,232.06478
62058937,16240,16080,178.92741
62058938,16163,15866,308.9632
62058940,16093,16212,265.07447
62058941,16263,16211,44.7267
62058942,16347,16263,101.82063
62058943,16366,16347,116.7407
62058944,16152,16195,93.49799
62058945,16292,16195,100.97512
62058946,16412,16366,112.6619
62058947,16495,16347,187.15786
62058948,16566,16495,105.15398
62058949,16652,16566,323.34704
62058950,16514,16495,184.80236
62058951,16445,16412,119.48278
62058952,16514,16366,192.45906
62058953,16604,16412,236.85932
62058954,16494,16445,79.4589
62058955,16667,16445,279.29722
62058956,16494,16263,501.23347
62058957,16504,16494,37.54287
62058958,16604,16514,151.22826
62058959,16553,16504,121.60589
62058960,16678,16504,227.76076
62058961,16099,16152,93.49827
62058962,16331,16152,220.61675
62058963,16221,16241,112.3544
62058965,16439,16292,225.53118
62058967,16241,16284,88.97143
62058968,16284,16331,102.91
62058969,16388,16331,146.37382
62058970,16240,16221,101.40083
62058971,16163,15899,309.72807
62058972,16307,16388,265.46937
62058973,16307,16240,70.21526
62058974,16330,16307,212.51424
62058975,16262,16240,224.82392
62058976,16553,16475,104.5824
62058977,16510,16439,89.74922
62058978,16411,16388,79.46025
62058980,16661,16553,140.42198
62058981,16651,16553,357.49945
62058982,16651,16510,260.5711
62058984,16565,16411,187.33218
62058985,16565,16439,328.57756
62058986,16588,16565,81.94067
62058991,14395,14171,476.68519
62058992,14433,14376,61.67472
62058993,14493,14433,76.91774
62058994,14560,14395,345.92136
62058997,14469,14433,70.41721
62058998,14395,14493,183.08589
62059001,14627,14575,130.88287
62059002,14627,14698,89.75481
62059003,14698,14697,191.88419
62059005,14697,14560,303.82089
62059006,14697,14747,53.1738
62059007,14743,14747,89.22934
62059008,14747,14787,61.75184
62059009,14752,14743,123.33441
62059010,14888,14743,200.57672
62059011,14806,14752,170.17943
62059012,14916,14752,209.19599
62059014,15021,14888,149.09079
62059015,14840,14806,84.50296
62059016,14827,14806,85.08991
62059019,14869,14827,107.55441
62059023,14787,14943,232.59645
62059024,14917,14943,168.53171
62059025,14888,14917,114.0137
62059026,15026,14917,130.56496
62059027,15142,15026,114.83828
62059028,15021,15026,122.41739
62059029,14943,15073,191.42658
62059030,15026,15073,302.84158
62059031,15185,15073,109.20273
62059032,15141,15142,77.70649
62059034,15003,15021,123.33441
62059035,14869,14916,302.84172
62059036,15003,14916,106.43556
62059037,15100,15003,95.98454
62059038,14982,15003,256.65061
62059039,15141,15021,123.3547
62059040,15100,15141,161.34189
62059041,15229,15100,121.84929
62059042,15277,15303,268.28183
62059043,15142,15185,290.69875
62059044,15303,15185,109.20314
62059046,15536,15303,210.17018
62059048,15364,15277,69.50655
62059049,15364,15388,79.61639
62059051,15251,15229,201.69073
62059052,15344,15333,89.22932
62059053,15345,15364,112.3545
62059054,15471,15364,97.88911
62059055,15373,15345,103.23645
62059056,15519,15471,161.34185
62059057,15519,15345,173.14289
62059058,15373,15229,121.84929
62059059,15449,15373,88.81797
62059060,15564,15449,95.34119
62059061,15094,15100,223.53772
