TLID,FNODE,TNODE,LENGTH
62043177,924,864,890.96681
62043179,864,862,98.67844
62043180,864,868,186.38592
62043184,1212,1206,63.70697
62043186,1194,1189,159.83357
62043187,1199,1194,91.04528
62043188,1206,1202,31.44176
62043189,1218,1206,151.09916
62043190,1230,1218,130.17929
62043193,1199,1203,79.34698
62043194,1203,1194,89.57521
62043195,1215,1203,99.47604
62043196,1223,1215,83.21741
62043197,1229,1215,96.08608
62043198,1193,1192,72.7328
62043199,1193,1187,108.66801
62043200,1211,1193,184.68342
62043201,1230,1211,120.7271
62043202,1211,1218,73.81005
62043203,1229,1266,627.10529
62043204,1223,1226,31.57138
62043205,1212,1223,59.57512
62043207,1187,1191,46.15963
62043208,1187,1177,91.37569
62043209,1177,1160,228.62316
62043210,1145,1160,391.05154
62043211,1116,1131,765.31731
62043212,1091,1116,571.82954
62043216,1264,1275,405.01395
62043217,1266,1264,224.68614
62043218,1267,1266,119.77787
62043219,1272,1268,169.37024
62043220,1334,1327,325.74456
62043221,1400,1352,730.29338
62043222,1483,1402,1185.80021
62043223,3638,3331,510.41008
62043224,2412,2477,822.3302
62043225,2934,2477,629.54388
62043226,2477,2110,526.51884
62043227,3336,3547,708.37686
62043229,3411,3385,161.49379
62043231,2934,3142,448.93918
62043234,1400,1465,859.83414
62043236,1186,1178,58.43488
62043239,3664,3656,11.13728
62043240,3664,3667,10.92404
62043243,3612,3664,204.85284
62043244,3571,3537,139.02276
62043245,3571,3702,218.80817
62043248,2715,2793,148.19615
62043251,2509,2678,400.11837
62043254,2147,2116,67.03252
62043256,1489,1434,338.50161
62043257,2997,3077,204.79346
62043258,2997,2966,77.57671
62043259,1477,1489,73.7357
62043260,1446,1477,163.89084
62043261,3110,2997,280.63503
62043262,3110,3200,264.99539
62043264,1603,1615,134.5346
62043265,1603,1521,531.2561
62043266,1617,1603,41.89797
62043268,1668,1617,170.38503
62043269,1816,1668,273.90395
62043270,1816,1819,1002.39586
62043271,1834,1816,44.1425
62043272,2014,1834,337.04864
62043273,2014,2147,542.41152
62043274,2593,2403,238.07833
62043275,2593,2997,762.86985
62043276,3188,2706,763.719
62043277,3188,3183,79.40968
62043278,1589,1610,201.4299
62043280,3281,3188,302.98041
62043282,3547,3281,376.53619
62043283,3231,3281,147.80412
62043284,3819,3547,440.45926
62043285,3223,3231,189.31616
62043286,1463,1537,454.03091
62043287,2898,3231,719.55434
62043290,1145,1144,30.69337
62043291,1413,1416,49.07765
62043292,1405,1413,66.20461
62043294,1374,1387,45.47905
62043295,1374,1350,198.31875
62043296,1251,1272,536.26093
62043298,3411,3554,285.69627
62043299,3835,3802,343.60137
62043300,1334,1374,635.0406
62043301,2151,2283,724.49207
62043302,2151,2057,300.16946
62043303,3770,3801,72.87793
62043305,2110,2151,168.48857
62043306,1210,1231,194.36332
62043307,2024,2032,57.01877
62043308,2024,1910,222.99537
62043309,3567,3743,530.36799
62043310,1175,1188,253.87872
62043311,2112,2024,185.45472
62043312,1270,1210,911.75501
62043313,2042,2112,158.60155
62043314,1091,1085,68.04569
62043316,2412,2251,208.16697
62043317,1186,1175,424.04095
62043318,1400,1355,231.30458
62043320,2748,2412,473.83166
62043321,3052,2746,551.45307
62043322,3052,3060,24.03361
62043330,1822,1628,1051.95204
62043331,947,924,612.58693
62043340,4570,4711,173.39513
62043370,3537,3562,428.43252
62043378,1819,1809,61.76386
62043388,1290,1284,35.13799
62043392,1202,1199,109.85886
62043395,1268,1267,67.08423
62043398,3370,3336,204.20646
62043401,2706,2593,153.53073
62043405,1336,1313,415.84582
62043407,1610,1617,174.3302
62043410,1350,1336,138.56522
62043413,1466,1413,292.21936
62043415,1416,1420,105.61443
62043418,1569,1472,697.20281
62043420,2289,2593,1106.35691
62043424,1132,1137,277.03726
62043427,2733,2748,80.43916
62043429,1997,2024,176.69979
62043432,3801,3815,48.04571
62043436,1292,1230,1449.91797
62043439,1162,1116,1548.21348
62043442,3060,3233,407.84886
62043447,1085,1039,884.62289
62043452,3617,3638,187.59903
62043454,3331,3052,505.75674
62043458,1465,1485,144.49592
62043460,1387,1405,87.56278
62043466,1238,1241,54.32889
62043468,1178,1176,26.57059
62043472,1143,1142,19.40554
62043479,1131,1132,14.18034
62043482,1188,1210,293.87638
62043486,3581,3617,85.55268
62043487,3581,3545,83.48027
62043488,3005,3052,168.07611
62043489,3005,2853,228.49054
62043490,3546,3567,63.40889
62043491,3546,3614,219.59096
62043492,2831,2830,246.21275
62043494,2831,2830,153.21029
62043495,2110,2035,125.38817
62043496,1910,1845,130.98115
62043499,1910,1844,111.37094
62043500,1820,1782,84.34247
62043501,3385,3370,61.24123
62043502,3385,3133,353.18376
62043503,2314,2014,453.37308
62043504,2314,2267,137.61736
62043506,1859,1829,52.05165
62043507,1859,1878,22.80481
62043508,1701,1834,585.96097
62043509,1629,1701,219.09878
62043510,1629,1636,371.82926
62043511,1701,1736,517.2635
62043513,1402,1400,162.80583
62043514,1402,1356,218.07168
62043515,1352,1334,424.55228
62043516,1352,1328,394.86819
62043517,1485,1444,631.36122
62043518,1485,1514,124.72045
62043519,1305,1272,465.64542
62043520,1305,1289,182.26518
62043521,1313,1306,51.45373
62043522,1313,1349,630.48581
62043526,1327,1305,226.59356
62043527,1284,1267,160.16114
62043536,1299,1290,132.01559
62043537,1275,1276,40.278
62043538,1306,1299,46.84477
62043544,1537,1571,235.98206
62043549,1398,1392,55.51055
62043554,2283,2289,51.95012
62043555,1571,1629,246.64111
62043557,1736,1853,212.73817
62043563,3142,3411,501.95593
62043567,3554,3796,374.00571
62043568,3802,3796,52.09179
62043570,3830,3835,41.03505
62043571,3815,3830,59.62728
62043577,3743,3770,52.02208
62043588,2746,2733,53.127
62043592,2076,2056,42.26528
62043593,2251,2123,275.47638
62043597,2123,2112,18.58035
62043598,2069,2099,116.16773
62043599,2099,2110,38.36879
62043602,2032,2069,158.4226
62043603,1844,1820,65.0979
62043604,1845,1638,548.8508
62043611,1982,1997,191.308
62043613,2056,1982,270.83948
62043624,1602,1592,77.47641
62043625,1592,1569,168.18416
62043637,1444,1405,326.41719
62043638,1420,1463,372.8288
62043641,1472,1466,17.29299
62043645,3183,3110,332.6672
62043646,3183,3034,288.55017
62043647,2966,2817,341.96414
62043651,3233,3546,753.64159
62043652,3233,3311,146.86989
62043661,3562,3558,127.52244
62043662,3558,3562,197.22054
62043672,2244,1855,746.91263
62043673,2244,2214,280.99813
62043674,2678,2715,224.33485
62043675,2678,2743,111.75577
62043677,961,974,295.90718
62043678,961,946,397.50379
62043679,974,977,133.35075
62043680,974,985,235.38787
62043686,7573,7534,224.70219
62043689,1176,1162,227.46862
62043690,1176,1183,71.40162
62043691,1241,1186,867.1975
62043692,1241,1244,15.29412
62043695,1244,1248,90.86281
62043696,1244,1256,221.09645
62043701,1424,1380,437.32188
62043704,1231,1177,1170.29645
62043705,1231,1219,102.71253
62043706,1191,1192,37.8646
62043707,1193,1191,79.66276
62043708,1226,1229,43.4616
62043709,1215,1226,83.20958
62043711,1137,1145,184.7871
62043712,1137,1136,16.24269
62043713,2403,2314,102.92723
62043714,2403,2501,190.67438
62043716,2817,2509,586.04727
62043718,1809,1769,279.56923
62043720,1809,1784,37.84433
62043721,1784,1676,375.07079
62043722,7589,7608,11.56252
62043725,993,1018,436.06203
62043729,1056,1057,26.40129
62043760,5,8,95.43842
62043761,3,5,86.49869
62043762,29,30,130.0891
62043763,30,23,1081.71241
62043764,3,2,18.61021
62043766,5,7,328.8022
62043767,4,6,648.26656
62043769,14,15,23.71425
62043773,16,26,636.00523
62043775,7,13,1039.53668
62043779,8,11,53.60806
62043782,2,1,272.38513
62043785,6,5,77.97665
62043788,10,11,46.13494
62043792,15,22,891.15746
62043795,34,29,741.13671
62043796,34,32,332.54426
62043797,36,34,141.47454
62043798,36,38,552.73548
62043799,22,30,407.37611
62043801,23,25,688.79498
62043802,23,33,513.88578
62043803,25,27,250.16462
62043804,25,19,268.65985
62043805,18,9,467.89873
62043806,18,20,243.82636
62043807,27,18,371.69013
62043808,27,31,260.51596
62043809,26,35,603.78734
62043810,26,28,160.89616
62043811,35,44,754.03555
62043812,35,37,215.40587
62043814,9,10,282.24053
62043815,542,535,53.41225
62043816,513,512,69.62446
62043817,889,886,46.18894
62043819,925,916,187.97838
62043820,889,890,73.57797
62043821,865,870,111.3654
62043822,830,841,159.79273
62043823,820,827,99.1186
62043824,762,765,28.58068
62043825,728,744,212.08527
62043826,523,669,930.75458
62043827,443,460,354.31158
62043828,442,443,176.97775
62043829,437,431,22.62145
62043830,471,437,299.02156
62043831,456,469,287.06803
62043833,858,843,430.34579
62043834,843,794,665.72016
62043835,794,749,341.16237
62043836,749,708,380.40201
62043838,523,498,136.40009
62043839,498,395,1095.75698
62043840,320,316,59.45968
62043841,307,305,48.11018
62043842,296,301,102.43759
62043843,349,353,30.90801
62043844,356,361,159.86701
62043845,361,367,62.25433
62043846,368,360,71.63351
62043847,360,357,38.64837
62043848,351,314,792.94664
62043850,876,861,561.09168
62043854,652,646,158.98885
62043856,633,609,175.01091
62043858,609,561,222.76228
62043859,561,521,159.04352
62043860,521,489,172.15717
62043861,489,456,195.66709
62043862,456,432,97.67938
62043864,330,309,248.09318
62043867,204,199,73.28819
62043868,124,103,433.09815
62043870,412,432,197.57799
62043872,365,369,482.6886
62043878,612,595,242.58438
62043879,595,588,80.78775
62043880,588,571,268.98404
62043884,609,625,131.64593
62043886,738,737,326.88094
62043888,718,738,170.29512
62043889,662,706,494.27686
62043891,467,533,336.54901
62043892,471,467,257.81645
62043893,437,467,134.79687
62043894,282,334,921.71485
62043895,265,282,285.82067
62043896,217,229,563.59915
62043897,204,217,487.4781
62043898,225,191,1790.05136
62043899,295,308,281.18912
62043900,275,295,453.43006
62043901,273,275,45.43121
62043902,230,273,567.44351
62043903,225,206,288.0206
62043904,230,225,150.98148
62043907,99,96,202.7832
62043908,95,96,372.98655
62043909,105,99,230.86275
62043910,102,99,71.24861
62043911,96,90,230.55147
62043912,90,91,186.66152
62043913,89,90,155.97539
62043915,95,83,309.25839
62043916,83,72,161.62868
62043917,67,69,270.75942
62043918,69,71,33.45997
62043919,71,72,86.40485
62043921,78,79,87.54832
62043923,66,92,1354.70609
62043924,122,129,336.99343
62043925,123,121,261.43107
62043927,241,240,26.99882
62043928,215,197,295.34784
62043929,215,234,332.71626
62043930,255,274,331.37105
62043931,255,244,133.00735
62043932,176,177,102.46757
62043934,161,153,245.12501
62043935,143,136,259.83284
62043936,226,216,121.74348
62043937,224,219,111.67869
62043938,224,227,122.71587
62043939,226,224,46.7054
62043940,226,248,254.90565
62043942,415,377,353.05937
62043943,388,406,341.07682
62043944,360,377,337.96348
62043945,388,368,240.38791
62043946,384,392,66.2601
62043947,371,361,173.95487
62043948,384,371,90.69311
62043949,382,384,134.68574
62043950,349,361,328.74942
62043951,366,356,186.00533
62043952,762,719,543.60069
62043953,513,415,555.48834
62043955,756,675,616.29459
62043956,488,655,1004.43468
62043957,828,756,630.86975
62043959,916,897,251.72376
62043962,839,804,607.57803
62043963,759,751,123.53907
62043966,919,884,482.49351
62043967,894,919,603.71754
62043968,880,894,462.66916
62043969,843,854,415.66287
62043971,885,907,365.02076
62043972,907,913,153.06319
62043973,770,759,251.18375
62043974,377,351,320.34635
62043975,759,787,311.61338
62043976,869,851,993.91868
62043977,838,770,717.35843
62043979,310,290,772.01513
62043981,542,704,813.98515
62043982,519,510,42.36176
62043983,519,527,43.14856
62043985,865,891,432.33592
62043986,820,760,671.56418
62043987,320,318,35.59357
62043988,151,152,182.50687
62043989,928,923,87.3626
62043990,825,795,319.76069
62043991,187,241,699.11379
62043994,284,282,700.6772
62043996,331,340,185.79117
62043997,442,581,701.85383
62043998,217,237,256.46645
62044001,7615,7688,80.47461
62044002,40,45,577.42636
62044003,563,584,136.44052
62044004,521,537,102.06847
62044005,561,563,115.6988
62044006,441,456,208.03869
62044007,441,412,119.98907
62044008,475,489,203.81779
62044009,475,441,193.67004
62044012,700,701,312.66176
62044013,700,667,241.22538
62044016,712,700,96.5649
62044017,712,732,134.24777
62044020,698,700,73.66381
62044022,571,593,99.15275
62044023,743,712,249.89328
62044024,713,712,189.42643
62044025,755,779,232.54156
62044026,755,743,131.43505
62044027,646,604,132.45607
62044029,734,743,148.21472
62044030,734,698,354.30706
62044031,768,755,107.95259
62044032,768,784,161.98167
62044034,746,755,120.38237
62044035,509,518,96.35311
62044036,730,734,102.72371
62044037,730,698,632.94839
62044038,730,768,328.82797
62044040,782,768,129.70697
62044041,588,604,201.00867
62044042,816,818,67.27136
62044043,792,782,108.38022
62044045,503,509,137.23464
62044046,550,540,37.08917
62044047,550,518,299.3194
62044049,569,595,106.62691
62044050,595,652,208.49881
62044051,479,474,130.73188
62044052,503,479,132.12575
62044053,550,569,114.29344
62044055,466,479,107.61778
62044057,800,792,79.38553
62044059,814,816,73.9936
62044061,783,792,93.98368
62044062,810,800,85.35524
62044063,813,814,61.48814
62044064,813,810,55.90885
62044066,470,484,103.66967
62044067,470,466,155.8955
62044068,807,810,87.63754
62044070,612,578,132.10703
62044071,562,550,244.09828
62044072,562,578,96.52031
62044073,504,503,236.13848
62044074,504,486,111.70313
62044075,504,539,107.75375
62044076,275,289,525.59375
62044080,71,83,150.54632
62044082,258,272,523.59947
62044083,319,359,712.5504
62044084,106,100,218.86653
62044085,604,593,130.18999
62044101,804,770,890.9356
62044116,675,488,926.93475
62044119,704,756,649.45199
62044126,511,510,17.09997
62044134,311,313,127.31244
62044139,281,296,421.26214
62044142,860,863,72.35765
62044146,244,235,151.07246
62044150,327,324,19.09929
62044153,338,336,114.1759
62044161,300,293,219.43129
62044163,297,307,417.68281
62044166,395,379,257.73334
62044169,144,151,178.83509
62044173,240,215,1068.25133
62044180,884,872,344.88649
62044183,795,728,604.48133
62044186,132,141,1450.93971
62044189,581,594,146.40163
62044197,340,443,896.51379
62044204,237,266,423.7558
62044212,191,190,282.16659
62044218,45,51,426.41621
62044222,819,833,176.17717
62044225,715,721,48.80308
62044227,560,576,98.33123
62044231,921,910,220.06753
62044233,920,901,338.47996
62044235,923,894,472.5641
62044239,309,304,118.42676
62044243,108,107,29.2661
62044246,128,125,81.60665
62044248,129,124,1318.96995
62044253,206,196,112.67457
62044256,714,710,425.00924
62044259,200,230,918.71044
62044266,559,562,13.23219
62044268,540,530,34.06325
62044279,250,262,126.62593
62044282,277,310,749.29678
62044285,367,368,32.44606
62044287,389,388,25.54305
62044289,512,511,30.0933
62044293,535,527,39.85358
62044297,886,885,63.70326
62044299,913,914,17.53321
62044303,175,151,548.56694
62044307,140,144,591.24027
62044313,51,66,661.63123
62044317,39,36,236.95887
62044320,222,218,69.81266
62044326,301,302,22.64703
62044334,672,674,23.39874
62044340,867,880,847.95111
62044347,262,277,283.1658
62044353,163,161,135.28946
62044356,202,189,137.41642
62044358,202,201,199.95408
62044359,201,203,628.71816
62044360,218,202,242.7281
62044361,218,213,260.80538
62044362,189,176,388.58091
62044364,218,207,157.61615
62044366,207,198,133.08408
62044367,198,189,125.05504
62044368,216,211,61.97761
62044369,216,212,93.19771
62044370,7688,7739,73.98701
62044371,211,209,86.03637
62044373,248,250,34.23698
62044374,248,253,227.84191
62044375,314,312,157.81749
62044376,314,345,451.17575
62044379,357,351,382.00453
62044380,357,342,250.57516
62044381,353,356,110.58342
62044382,353,358,185.5823
62044383,358,363,27.38202
62044385,333,349,556.90931
62044386,333,341,170.82753
62044387,313,333,473.77149
62044388,313,325,223.55676
62044389,302,311,251.68048
62044390,302,299,239.37098
62044391,274,281,110.54462
62044393,274,276,268.47664
62044394,276,270,413.86133
62044395,235,222,358.58079
62044396,235,188,594.99438
62044397,305,296,349.50701
62044399,305,322,299.03329
62044401,322,332,43.48219
62044402,332,348,363.56268
62044405,392,405,209.6972
62044408,392,391,60.9655
62044409,392,403,163.15961
62044410,391,390,98.61409
62044411,391,411,211.84874
62044412,390,389,15.54825
62044413,390,372,151.19285
62044414,406,415,62.15156
62044415,406,476,376.31195
62044418,451,464,144.09611
62044419,464,483,310.3333
62044421,483,488,23.9728
62044423,483,440,482.73719
62044424,440,426,178.9526
62044425,655,699,452.03212
62044426,655,632,251.31678
62044427,699,736,585.63561
62044428,699,740,354.41139
62044431,632,601,90.25422
62044432,417,408,40.32729
62044433,417,416,331.90755
62044434,463,423,499.59124
62044435,463,435,151.96812
62044436,554,463,465.97558
62044437,554,597,195.60131
62044438,597,603,24.97732
62044439,597,592,51.21895
62044441,597,623,149.13961
62044443,577,554,335.40114
62044444,577,638,226.4761
62044445,649,577,584.4586
62044446,649,620,181.91046
62044447,678,649,181.70368
62044448,678,680,307.9691
62044449,680,683,237.52782
62044450,680,695,152.47337
62044451,692,678,56.37596
62044452,692,686,143.49772
62044453,855,839,326.28496
62044454,855,845,267.4758
62044455,719,692,238.75223
62044456,719,727,408.48016
62044457,760,761,60.17049
62044458,727,733,51.96013
62044460,760,731,507.54398
62044461,731,727,147.5578
62044464,658,553,1477.04168
62044467,736,759,235.33268
62044468,736,725,154.89056
62044475,902,912,269.72156
62044486,891,899,80.7135
62044487,891,908,184.93132
62044488,899,907,329.28907
62044489,899,918,249.57692
62044490,841,860,377.19434
62044491,841,853,294.38749
62044492,870,885,317.18044
62044493,870,873,218.96444
62044494,914,889,328.00748
62044495,914,929,528.20189
62044496,890,895,165.41958
62044497,890,905,202.90697
62044498,863,865,102.26083
62044499,863,857,182.66388
62044500,872,830,834.87083
62044501,872,881,246.64385
62044502,772,788,202.53394
62044503,788,820,652.33856
62044504,772,788,248.37276
62044505,901,880,286.68947
62044506,901,888,190.51683
62044507,859,867,420.05284
62044508,859,875,281.78475
62044509,854,859,678.39676
62044510,854,874,303.67243
62044511,910,879,388.64113
62044512,910,911,669.44718
62044513,879,858,465.88973
62044514,879,882,535.25369
62044515,852,858,340.97411
62044516,852,866,253.99932
62044517,847,852,360.51373
62044518,847,840,117.6363
62044522,771,786,103.18489
62044523,786,796,162.69547
62044524,786,790,194.78159
62044528,694,718,195.17824
62044529,694,661,431.53626
62044530,410,442,654.78075
62044532,410,455,201.53665
62044534,460,492,228.20597
62044535,492,517,129.53319
62044536,492,496,90.24793
62044541,669,672,61.33448
62044542,669,600,349.14001
62044543,724,728,35.76439
62044544,724,703,134.35878
62044545,703,697,71.83947
62044546,703,716,140.85414
62044547,744,762,233.52711
62044548,744,726,255.63776
62044549,355,352,201.31665
62044551,355,339,275.30549
62044552,339,315,330.09956
62044553,379,355,428.97525
62044554,379,450,477.33368
62044559,674,688,199.77065
62044560,688,724,470.61632
62044561,674,688,242.26235
62044562,352,338,311.80259
62044563,352,375,324.18494
62044564,318,300,812.24926
62044565,316,307,366.52555
62044566,318,316,77.22929
62044567,324,320,59.53949
62044568,318,324,62.40069
62044569,234,255,855.00029
62044570,234,231,148.54383
62044571,197,175,473.50911
62044572,197,183,513.04094
62044574,254,241,394.30323
62044576,254,268,267.05856
62044577,259,254,296.7987
62044578,259,246,154.1723
62044579,265,259,290.09045
62044580,1363,1357,145.12486
62044582,343,498,1212.1164
62044583,343,346,483.11453
62044584,334,343,206.09558
62044586,334,321,396.61784
62044587,321,317,202.62538
62044588,229,265,1247.62327
62044589,229,263,484.71759
62044606,127,132,198.12911
62044607,127,126,138.72587
62044608,141,140,863.83279
62044609,141,157,217.33524
62044610,152,150,508.53575
62044611,152,133,528.75437
62044613,44,41,292.53507
62044615,116,127,249.80653
62044616,116,94,550.90348
62044619,70,66,343.56728
62044620,70,82,144.57872
62044621,76,70,203.89853
62044622,76,62,165.58361
62044623,65,76,339.01376
62044624,65,93,480.16674
62044625,80,65,930.64233
62044626,80,56,478.82473
62044630,98,95,143.16975
62044631,98,97,144.73127
62044633,100,101,149.28291
62044636,107,104,72.27446
62044637,104,113,257.04674
62044638,194,204,626.06513
62044639,194,205,136.00251
62044640,190,194,157.3435
62044642,190,185,91.97049
62044643,185,181,219.01348
62044644,196,182,281.43956
62044645,196,193,185.36264
62044647,182,179,462.65905
62044649,431,396,240.60642
62044650,473,472,103.06435
62044651,473,525,264.62636
62044655,469,499,192.22559
62044656,295,298,269.39083
62044666,717,714,41.62918
62044668,717,722,29.09983
62044670,722,739,228.12595
62044676,779,743,515.5385
62044677,779,763,107.74459
62044680,667,633,156.47193
62044682,667,666,101.70542
62044684,811,824,518.69916
62044686,741,811,506.56131
62044687,741,705,287.08434
62044688,721,741,293.07578
62044689,721,754,277.17435
62044691,671,691,79.84172
62044692,666,671,73.4045
62044693,666,681,95.20939
62044698,614,633,48.86216
62044703,474,462,102.96834
62044706,465,461,25.07353
62044707,474,465,170.41672
62044708,486,470,129.88024
62044710,539,559,94.95629
62044711,530,503,81.18119
62044712,539,536,98.09767
62044713,530,528,102.13648
62044714,536,530,137.55337
62044715,536,549,35.728
62044723,842,847,158.35998
62044725,833,842,392.73969
62044726,833,844,185.08133
62044727,344,362,248.33772
62044728,344,337,467.68649
62044730,272,269,184.67115
62044734,303,283,471.79938
62044735,283,280,37.18885
62044736,289,295,417.95752
62044737,283,289,1220.88587
62044738,385,386,59.99424
62044740,412,402,84.74886
62044741,497,487,75.33084
62044744,487,475,76.0224
62044745,487,485,39.83273
62044751,364,365,30.64958
62044753,359,365,27.39647
62044762,121,118,80.128
62044763,125,123,22.96747
62044766,79,80,97.65935
62044787,195,192,41.1233
62044794,701,711,86.77147
62044795,553,519,146.79362
62044796,518,500,70.2204
62044797,504,506,66.80124
62044799,294,297,210.81298
62044800,294,278,385.03611
62044801,293,294,375.90534
62044802,293,286,414.9809
62044803,336,327,161.99379
62044804,336,354,307.52033
62044805,765,772,103.02879
62044806,765,802,466.17057
62044807,900,902,160.29001
62044810,878,828,783.99651
62044814,915,916,501.32329
62044817,871,855,385.37331
62044821,376,385,349.0105
62044825,369,376,401.73068
62044826,330,329,173.28039
62044827,362,386,206.04643
62044829,387,330,682.08801
62044832,329,323,456.67222
62044833,472,471,65.66359
62044844,613,662,426.59547
62044847,576,582,21.63503
62044849,582,613,163.37172
62044852,748,742,216.23171
62044855,752,750,17.77881
62044883,2196,2190,149.18111
62044885,2190,2176,518.35661
62044891,15546,15967,649.02631
62044915,61,64,181.57888
62044917,58,61,191.90701
62044919,58,59,174.28552
62044928,373,380,113.51944
62044931,394,409,211.19822
62044943,156,135,471.42971
62044946,1361,1370,112.88903
62044964,165,166,196.5668
62044965,166,233,1360.16851
62044969,169,251,1290.25369
62044970,233,242,296.81088
62044971,242,239,297.71215
62044973,239,228,262.90022
62044976,233,264,361.28133
62044983,306,251,1121.01263
62044988,347,350,125.94724
62044989,347,326,565.51604
62044990,383,347,387.22902
62044996,383,430,354.94343
62044997,427,430,614.13009
62044999,291,306,2526.73021
62045008,425,427,406.34218
62045009,400,425,147.44649
62045011,425,494,369.56358
62045013,454,468,165.43075
62045016,401,454,558.65896
62045027,942,933,194.57938
62045028,933,932,43.1563
62045033,931,941,223.91693
62045035,941,967,822.42874
62045037,941,959,429.24342
62045039,959,976,204.54079
62045044,1005,994,312.85012
62045045,1017,1005,134.70352
62045047,1054,1030,318.44191
62045049,1083,1054,476.49678
62045052,1083,1081,188.90725
62045060,976,978,154.23175
62045063,999,1004,73.30698
62045064,999,1014,157.01368
62045065,1014,1004,121.08872
62045066,1014,1058,652.66344
62045067,1004,1027,529.40896
62045069,1058,1129,900.34288
62045070,1058,1027,512.12128
62045075,1147,1156,507.70982
62045084,1181,1179,253.49061
62045086,1164,1185,287.40451
62045089,1155,1165,693.81052
62045090,1166,1168,200.57398
62045091,1155,1166,278.31548
62045092,1181,1204,233.34138
62045093,1224,1213,60.30946
62045094,1224,1228,183.77788
62045096,1208,1164,809.2282
62045097,1224,1298,989.88614
62045098,945,949,321.23928
62045099,1166,1235,808.46368
62045100,945,930,390.78307
62045101,1235,1259,406.8195
62045108,1294,1322,724.41729
62045114,1339,1341,9.95266
62045117,949,960,158.54193
62045120,938,939,28.18955
62045122,939,971,613.6516
62045123,939,940,24.1931
62045130,934,937,49.50806
62045134,971,982,802.6394
62045136,963,953,199.0049
62045146,573,642,241.12948
62045147,657,642,91.42774
62045148,642,659,196.95395
62045150,657,643,202.22417
62045152,659,657,14.07187
62045153,657,702,301.63003
62045166,948,951,99.67834
62045167,951,962,115.05665
62045168,962,957,456.41852
62045169,1015,959,1005.05757
62045172,983,1050,1442.05239
62045173,1027,1015,282.08477
62045174,989,1015,512.16368
62045176,982,969,257.38834
62045180,997,963,589.84283
62045182,997,1006,164.09081
62045184,1025,1043,891.20813
62045186,1087,1098,154.38279
62045189,1098,1107,425.30034
62045190,1098,1141,907.12645
62045194,1006,1000,112.55835
62045195,1006,1022,281.67511
62045196,1022,1025,74.46037
62045198,1022,1032,167.89441
62045203,1033,1069,595.24253
62045204,1029,1021,474.21594
62045205,1052,1049,173.50694
62045206,1029,1052,345.83359
62045210,988,980,215.08613
62045211,980,955,550.36544
62045213,988,996,135.58233
62045215,1009,1008,133.21758
62045216,1009,1047,532.27103
62045217,1010,1007,303.08369
62045221,1023,1029,130.57802
62045222,1023,1009,833.55381
62045227,1059,1067,234.98687
62045228,1067,1032,847.27741
62045230,1084,1104,294.99783
62045231,1067,1069,27.57672
62045232,1052,1063,227.33926
62045233,1063,1071,294.28351
62045236,1063,1079,279.21401
62045237,1079,1086,101.47882
62045238,1079,1082,69.72589
62045240,1125,1114,135.71397
62045241,1106,1104,21.79814
62045243,1125,1106,338.21391
62045244,1127,1125,26.28607
62045245,1127,1123,346.16302
62045246,1123,1133,3064.38705
62045252,1165,1135,740.1409
62045255,1170,1182,679.2798
62045262,1140,1146,482.27806
62045263,1172,1182,255.11513
62045264,1172,1173,189.44144
62045265,1172,1209,396.675
62045266,1173,1180,665.67551
62045268,1140,1180,835.21266
62045269,1180,1227,646.88236
62045270,1259,1308,871.82085
62045272,1182,1207,290.59933
62045279,1138,1140,29.81534
62045290,1205,1286,1475.64729
62045291,1222,1233,159.68521
62045294,1286,1250,883.37847
62045297,1138,1127,373.12847
62045298,1250,1233,265.09045
62045303,1007,1002,129.02119
62045304,1011,1007,241.35935
62045305,1002,998,117.12944
62045307,998,1011,126.42236
62045308,1119,1120,11.50837
62045310,1118,1119,2.3377
62045311,991,1019,477.13047
62045312,992,1003,372.02937
62045313,995,991,833.42149
62045314,992,995,281.55572
62045315,995,1020,358.95102
62045323,1128,1124,1072.5438
62045326,1110,1094,328.69304
62045331,1120,1110,897.7241
62045334,1126,1124,6.6849
62045337,1126,1150,639.71776
62045346,1041,1060,380.41954
62045347,1076,1078,77.20391
62045348,1078,1074,212.1062
62045349,1101,1078,330.85103
62045350,1074,1073,556.86148
62045351,1074,1092,201.64227
62045353,1073,1061,174.36424
62045354,1073,1072,55.50665
62045355,1072,1090,330.13845
62045357,1092,1101,135.97013
62045368,1150,1217,1068.48394
62045379,1269,1253,388.89485
62045382,1217,1201,267.11423
62045397,1353,1343,96.21295
62045411,1254,1287,514.6972
62045414,1298,1359,540.49789
62045415,1359,1353,208.50908
62045416,1601,1645,189.26493
62045417,1510,1511,10.03699
62045419,1483,1499,186.50181
62045420,1499,1510,120.89724
62045421,1499,1520,111.45011
62045422,1359,1475,592.41702
62045424,1475,1511,165.43578
62045425,1532,1511,108.92686
62045427,1520,1532,103.34804
62045430,1532,1601,407.89559
62045432,1601,1596,113.99741
62045433,1353,1377,178.3504
62045434,1645,1667,78.00564
62045436,1707,1645,265.16156
62045437,1707,1667,289.7704
62045442,1343,1337,256.34062
62045446,1428,1401,169.10394
62045449,1706,1641,317.48958
62045454,1759,1738,91.78216
62045455,1813,1759,166.29004
62045456,1738,1742,192.53381
62045457,1738,1813,138.13599
62045459,1519,1428,502.16018
62045460,1519,1474,1044.47816
62045461,1558,1519,243.08408
62045462,1558,1594,297.29437
